id,date,amount,merchant,description,category
1,2025-04-07,46.11,"Davis, May and Todd","Davis, May and Todd - Course fee",Transport
2,2024-12-27,7.53,Hilton Hotels,Hilton Hotels - Online purchase,Travel
3,2023-11-14,5.04,Delta Airlines,Delta Airlines - Hotel stay,Travel
4,2025-04-07,52.04,Randolph Inc,Randolph Inc - Course fee,Entertainment
5,2025-06-08,12.0,Uber Eats,Uber Eats - Electric bill payment,Transport
6,2025-11-27,50.55,Local High School,Local High School - Taxi ride,Education
7,2023-11-16,10.99,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
8,2025-03-16,83.21,Gas Station,Gas Station - Online purchase,Bills
9,2024-08-17,21.29,Hobbs and Sons,Hobbs and Sons - Grocery shopping,Education
10,2023-11-06,9.96,CVS Pharmacy,CVS Pharmacy - Course fee,Health
11,2025-05-03,8.4,Local Taxi,Local Taxi - Prescription purchase,Others
12,2023-12-26,41.08,Electric Company,Electric bill payment,Bills
13,2024-10-08,8.94,Lyft,Grocery shopping,Transport
14,2026-07-03,16.61,Netflix Streaming,Online purchase,Entertainment
15,2025-08-23,9.93,Rivera Group,Rivera Group - Lunch with friends,Others
16,2025-12-12,5.77,Johnson PLC,Johnson PLC - Online purchase,Education
17,2025-07-10,20.48,City Hospital,City Hospital - Online purchase,Utilities
18,2025-04-14,72.25,Corner Grocery,Taxi ride,Shopping
19,2025-09-23,32.09,Corner Grocery,Corner Grocery - Lunch with friends,Health
20,2023-10-07,9.38,Local Taxi,Local Taxi - Online purchase,Travel
21,2024-01-15,33.33,City Hospital,City Hospital - Course fee,Food
22,2025-10-17,14.74,Walmart Supercenter,Walmart Supercenter - Online purchase,Shopping
23,2024-03-18,44.34,Delta Airlines,Online purchase,Travel
24,2024-04-05,7.38,State University,State University - Prescription purchase,Education
25,2025-08-30,19.25,Local High School,Lunch with friends,Education
26,2025-04-17,28.88,City Hospital,Gas refill,Bills
27,2024-02-20,33.62,"Watkins, Sanders and Hodge","Watkins, Sanders and Hodge - Taxi ride",Shopping
28,2025-04-26,4.9,State University,State University - Gas refill,Education
29,2026-08-29,43.5,Norris-Charles,Norris-Charles - Taxi ride,Transport
30,2025-12-04,28.56,"Rivera, Lee and Brown","Rivera, Lee and Brown - Online purchase",Utilities
31,2024-01-30,7.64,"Wright, Mcgee and Mann",Monthly subscription,Food
32,2025-02-07,4.3,Gas Station,Gas Station - Prescription purchase,Bills
33,2025-12-30,22.26,Hunt-Patrick,Hunt-Patrick - Hotel stay,Travel
34,2026-03-31,87.92,"Mays, Perez and Harris",Grocery shopping,Transport
35,2025-08-21,37.69,Local Taxi,Local Taxi - Electric bill payment,Bills
36,2024-10-18,71.49,Local Taxi,Flight booking,Food
37,2025-11-15,54.47,Wong-Raymond,Taxi ride,Travel
38,2025-01-03,75.57,Spotify,Spotify - Grocery shopping,Entertainment
39,2025-03-04,14.86,Local Taxi,Hotel stay,Travel
40,2026-06-15,103.04,Uber Eats,Taxi ride,Transport
41,2026-06-09,35.44,Gas Station,Flight booking,Bills
42,2026-04-12,37.45,Amazon Marketplace,Hotel stay,Travel
43,2024-01-09,90.0,Waterworks,Course fee,Bills
44,2024-12-21,9.41,"Pacheco, Bean and Martinez",Course fee,Shopping
45,2024-04-13,2.57,Jacobs-Gilbert,Jacobs-Gilbert - Taxi ride,Others
46,2025-07-31,46.81,State University,Course fee,Education
47,2025-04-17,21.76,Starbucks Coffee,Starbucks Coffee - Online purchase,Shopping
48,2025-10-01,15.76,City Hospital,Lunch with friends,Food
49,2024-07-28,66.78,Electric Company,Hotel stay,Travel
50,2025-01-25,19.37,Starbucks Coffee,Electric bill payment,Bills
51,2024-08-20,6.93,Hill LLC,Gas refill,Bills
52,2024-06-27,2.81,Sandoval-Williams,Sandoval-Williams - Flight booking,Health
53,2025-12-14,58.33,Woodard-Forbes,Woodard-Forbes - Prescription purchase,Travel
54,2024-06-17,59.12,Local Taxi,Local Taxi - Grocery shopping,Utilities
55,2023-09-06,6.39,Netflix Streaming,Netflix Streaming - Monthly subscription,Entertainment
56,2024-10-16,17.26,CVS Pharmacy,CVS Pharmacy - Online purchase,Health
57,2023-09-17,4.78,Gay-Johnson,Gay-Johnson - Prescription purchase,Health
58,2024-11-13,12.17,Delta Airlines,Delta Airlines - Course fee,Travel
59,2024-06-16,2.7,City Hospital,City Hospital - Electric bill payment,Bills
60,2024-01-28,14.34,Hurley-Lewis,Online purchase,Education
61,2024-01-17,35.77,Amazon Marketplace,Flight booking,Shopping
62,2025-12-11,9.49,CVS Pharmacy,CVS Pharmacy - Grocery shopping,Health
63,2024-05-15,6.07,Brown-Marsh,Brown-Marsh - Gas refill,Bills
64,2024-03-18,36.5,"Meyers, Howard and Williams",Course fee,Food
65,2024-09-15,6.3,Netflix Streaming,Netflix Streaming - Hotel stay,Travel
66,2023-12-16,4.87,Lyft,Lyft - Monthly subscription,Transport
67,2026-01-21,27.36,"Atkins, Austin and Irwin",Flight booking,Food
68,2025-01-25,64.06,Mitchell-Bray,Mitchell-Bray - Lunch with friends,Shopping
69,2025-06-27,25.95,Delta Airlines,Delta Airlines - Electric bill payment,Travel
70,2025-11-27,7.33,Parker and Sons,Grocery shopping,Food
71,2025-01-18,69.06,Electric Company,Prescription purchase,Bills
72,2024-10-03,49.42,Spotify,Lunch with friends,Entertainment
73,2026-05-31,23.89,Uber Eats,Uber Eats - Gas refill,Transport
74,2024-09-23,11.44,Lam-Wells,Lam-Wells - Grocery shopping,Utilities
75,2025-01-01,12.53,CVS Pharmacy,CVS Pharmacy - Grocery shopping,Health
76,2024-09-06,62.31,Mall Outlet,Mall Outlet - Prescription purchase,Others
77,2025-02-14,20.29,Delta Airlines,Delta Airlines - Hotel stay,Travel
78,2025-04-23,70.29,Netflix Streaming,Grocery shopping,Entertainment
79,2025-05-07,1.05,Hoover-Lawrence,Hoover-Lawrence - Electric bill payment,Bills
80,2024-12-15,48.02,State University,Electric bill payment,Education
81,2026-02-03,1.23,Jones Ltd,Jones Ltd - Electric bill payment,Bills
82,2026-08-06,20.03,Mall Outlet,Mall Outlet - Flight booking,Food
83,2025-05-14,9.76,Corner Grocery,Electric bill payment,Bills
84,2024-05-14,5.02,Arroyo-Romero,Arroyo-Romero - Online purchase,Bills
85,2024-07-14,28.01,Smith Inc,Gas refill,Bills
86,2026-05-28,5.7,City Hospital,Electric bill payment,Bills
87,2024-08-09,93.37,Starbucks Coffee,Starbucks Coffee - Hotel stay,Travel
88,2025-11-13,19.27,Waterworks,Waterworks - Course fee,Bills
89,2024-05-17,5.86,Starbucks Coffee,Starbucks Coffee - Flight booking,Transport
90,2025-01-03,45.22,State University,Taxi ride,Education
91,2023-10-16,17.45,Walmart Supercenter,Walmart Supercenter - Grocery shopping,Shopping
92,2024-11-17,13.5,Andrews PLC,Prescription purchase,Shopping
93,2024-10-30,10.69,Waterworks,Waterworks - Grocery shopping,Bills
94,2026-07-08,61.4,Tyler Group,Tyler Group - Flight booking,Others
95,2026-04-11,29.63,Joe's Pizza,Lunch with friends,Food
96,2024-12-05,8.99,Baker-Gonzalez,Baker-Gonzalez - Course fee,Shopping
97,2024-09-30,8.42,Ford Group,Course fee,Education
98,2024-05-21,23.69,Lyft,Lyft - Lunch with friends,Transport
99,2024-01-21,11.33,City Hospital,City Hospital - Hotel stay,Travel
100,2026-05-09,16.82,Spotify,Taxi ride,Entertainment
101,2024-01-03,46.68,City Hospital,Prescription purchase,Others
102,2026-03-02,34.66,"Johnson, King and Hall","Johnson, King and Hall - Grocery shopping",Travel
103,2023-12-22,110.48,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
104,2024-02-16,34.03,State University,Online purchase,Education
105,2023-11-11,51.54,Stein-Lopez,Gas refill,Bills
106,2024-02-25,57.15,Local Taxi,Local Taxi - Electric bill payment,Bills
107,2026-08-06,12.29,Walmart Supercenter,Grocery shopping,Shopping
108,2024-12-11,57.5,Local Taxi,Local Taxi - Flight booking,Health
109,2026-06-16,1.07,Mall Outlet,Mall Outlet - Prescription purchase,Utilities
110,2023-11-16,8.03,Lyft,Lyft - Hotel stay,Transport
111,2026-03-28,34.74,Gas Station,Gas Station - Electric bill payment,Bills
112,2025-12-26,19.61,City Hospital,City Hospital - Monthly subscription,Others
113,2024-03-30,9.89,Hilton Hotels,Flight booking,Travel
114,2026-06-16,54.96,Corner Grocery,Gas refill,Bills
115,2024-02-08,6.05,Local High School,Local High School - Lunch with friends,Education
116,2023-09-14,31.58,Netflix Streaming,Course fee,Entertainment
117,2024-09-26,7.42,Waterworks,Waterworks - Course fee,Bills
118,2025-03-24,45.97,Spotify,Spotify - Prescription purchase,Entertainment
119,2025-07-15,13.74,Corner Grocery,Corner Grocery - Online purchase,Entertainment
120,2026-07-04,5.82,Walmart Supercenter,Prescription purchase,Shopping
121,2024-10-21,21.35,Netflix Streaming,Prescription purchase,Entertainment
122,2026-06-03,1.78,"Mcbride, Holmes and Perez",Flight booking,Health
123,2024-05-05,33.47,Electric Company,Lunch with friends,Bills
124,2026-03-20,17.38,Kemp-Browning,Kemp-Browning - Taxi ride,Shopping
125,2026-05-04,28.62,Waterworks,Monthly subscription,Bills
126,2026-08-27,18.9,Contreras Inc,Taxi ride,Utilities
127,2024-01-23,7.2,"Morrow, Rogers and Martin","Morrow, Rogers and Martin - Monthly subscription",Food
128,2025-05-02,30.39,"Macias, Wood and Joseph",Grocery shopping,Shopping
129,2025-12-05,40.34,Electric Company,Gas refill,Bills
130,2025-12-15,13.4,"Willis, Johnson and Morgan",Taxi ride,Bills
131,2026-07-16,21.29,Walmart Supercenter,Walmart Supercenter - Grocery shopping,Shopping
132,2026-04-03,30.64,Local Taxi,Local Taxi - Gas refill,Bills
133,2024-11-30,26.03,Joe's Pizza,Joe's Pizza - Monthly subscription,Food
134,2025-09-11,3.26,Delta Airlines,Electric bill payment,Travel
135,2025-03-16,35.77,Spotify,Spotify - Lunch with friends,Entertainment
136,2026-06-16,20.48,Electric Company,Hotel stay,Travel
137,2024-01-30,43.96,Perry-Huynh,Monthly subscription,Utilities
138,2024-09-17,13.0,State University,Gas refill,Education
139,2026-08-22,1.04,Corner Grocery,Corner Grocery - Hotel stay,Travel
140,2026-07-20,14.46,"Lee, Scott and Cochran",Taxi ride,Bills
141,2026-03-28,22.5,Benjamin Inc,Prescription purchase,Entertainment
142,2026-01-17,108.64,Shepherd-Oliver,Electric bill payment,Bills
143,2025-08-19,99.43,Lyft,Lyft - Prescription purchase,Transport
144,2025-12-23,11.87,City Hospital,Taxi ride,Food
145,2025-09-30,3.37,"Thompson, Diaz and Bishop","Thompson, Diaz and Bishop - Electric bill payment",Bills
146,2025-02-23,19.16,Christian-Whitaker,Christian-Whitaker - Online purchase,Health
147,2025-07-22,50.15,"Thompson, Henderson and Trujillo","Thompson, Henderson and Trujillo - Prescription purchase",Shopping
148,2024-01-29,5.23,Price-Cabrera,Price-Cabrera - Electric bill payment,Bills
149,2025-05-05,11.13,CVS Pharmacy,CVS Pharmacy - Flight booking,Health
150,2024-07-25,7.64,Netflix Streaming,Netflix Streaming - Grocery shopping,Entertainment
151,2025-05-27,22.74,Walmart Supercenter,Walmart Supercenter - Grocery shopping,Shopping
152,2025-04-09,12.92,Williams Group,Williams Group - Flight booking,Food
153,2026-01-22,38.59,Electric Company,Electric Company - Course fee,Bills
154,2023-12-02,62.06,"Hamilton, Young and Jefferson","Hamilton, Young and Jefferson - Online purchase",Bills
155,2025-06-07,25.87,"Stevenson, Lopez and Jones","Stevenson, Lopez and Jones - Electric bill payment",Bills
156,2025-05-10,10.37,Lyft,Lyft - Hotel stay,Transport
157,2026-06-02,49.32,"Lucero, Chavez and Cunningham","Lucero, Chavez and Cunningham - Monthly subscription",Others
158,2025-01-18,3.31,City Hospital,Prescription purchase,Shopping
159,2025-12-08,2.41,Joe's Pizza,Joe's Pizza - Grocery shopping,Food
160,2023-10-03,9.84,Local High School,Local High School - Monthly subscription,Education
161,2025-03-28,14.84,State University,Electric bill payment,Education
162,2026-08-25,24.98,Walmart Supercenter,Walmart Supercenter - Taxi ride,Shopping
163,2025-08-04,5.42,Spotify,Spotify - Taxi ride,Entertainment
164,2024-12-14,45.84,Amazon Marketplace,Amazon Marketplace - Hotel stay,Travel
165,2026-04-16,3.6,"Romero, Coffey and Bray","Romero, Coffey and Bray - Hotel stay",Travel
166,2026-01-22,7.05,CVS Pharmacy,CVS Pharmacy - Hotel stay,Travel
167,2026-03-21,11.66,City Hospital,City Hospital - Prescription purchase,Food
168,2024-06-03,19.31,Fitzpatrick Group,Course fee,Others
169,2024-03-16,11.55,"Moore, Sosa and Miller","Moore, Sosa and Miller - Hotel stay",Travel
170,2024-04-24,3.29,"Ward, Caldwell and Garrett","Ward, Caldwell and Garrett - Gas refill",Bills
171,2026-01-09,4.66,Horton PLC,Horton PLC - Taxi ride,Bills
172,2023-09-22,56.06,Spotify,Electric bill payment,Entertainment
173,2025-12-11,18.83,Walmart Supercenter,Walmart Supercenter - Hotel stay,Travel
174,2024-10-08,14.53,Daniels Ltd,Daniels Ltd - Flight booking,Bills
175,2024-02-26,99.33,Garrett PLC,Prescription purchase,Shopping
